GEOID,tot_pop,median_inc,unemp,pov,EP_age_65,diveristy_idx,hou_burd,vote_share,crime_rate
021197,12387,34048,0.07396753647010479,0.28222778473091364,0.14248809235488819,0.04786135152942683,0.005381727158948686,0.25660681864030666,0.0590942116735287
021199,63772,34673,0.09188417468975363,0.25399929596745807,0.17722511447030045,0.0753495247953937,0.0011147181914186255,0.15006597482258122,0.042855798783165026
021201,2191,30964,0.058165548098434,0.2278876170655567,0.25741670470104977,0.005823166470193097,0.027679500520291365,0.21915103652517276,0.005933363760839799
021203,16893,33500,0.11242001163467132,0.2586313193588163,0.1665186763748298,0.018171308571877764,0.0037299630086313194,0.13675085936332387,0.04416030308411768
021205,24302,36216,0.06334841628959276,0.2594122506786262,0.12998930129207473,0.0869852828711134,0.0034108344152012277,0.3724005424954792,0.03353633445806929
021207,17684,31539,0.10632434000580215,0.2588617426917102,0.1863831712282289,0.0770820567011683,0.0037565315633385117,0.13371666258869586,0.03997964261479303
021209,51348,64329,0.05327382023685252,0.10299793792629408,0.10707330373140142,0.22311527339617854,0.001089197906202083,0.31880165289256196,0.028628184155176442
021211,44967,61737,0.048864030523759976,0.11275817155616201,0.13714501745724642,0.32018623478246633,0.0014947590398809156,0.30495626822157434,0.03796117152578558
021213,17856,42288,0.05506024096385542,0.16843920666858292,0.15507392473118278,0.2372406076820458,0.0036648462201782123,0.2846899482140486,0.05667562724014337
021215,17798,65700,0.06749120375306536,0.10018610421836228,0.12310371951904708,0.09003089521403762,0.0029621588089330025,0.20189174986862848,0.02387908753792561
021217,25315,32977,0.08813801734155717,0.2365315546434069,0.17124234643492,0.15474080506222032,0.0031503335043612103,0.22580930479391473,0.07173612482717756
021219,12465,41306,0.07935572579061088,0.19144243493603882,0.15900521460088246,0.23192079740642446,0.005535950595500661,0.21803724628583385,0.026233453670276775
021221,14267,45032,0.10105701473414477,0.1378618035803915,0.21321931730567042,0.16794270347663554,0.0036640455077798224,0.2350762849948156,0.03855050115651504
